
achievement_card_progressbar | progressbar_style
   0.744 Script @__level__/control.lua:514: slot_window_frame | frame_style
   0.744 Script @__level__/control.lua:514: small_notice_textbox | textbox_style
   0.744 Script @__level__/control.lua:514: speech_bubble | speech_bubble_style
   0.744 Script @__level__/control.lua:514: splitter_settings_table | table_style
   0.744 Script @__level__/control.lua:514: squashable_label | label_style
   0.744 Script @__level__/control.lua:514: squashable_label_with_left_padding | label_style
   0.744 Script @__level__/control.lua:514: station_train_status_button | button_style
   0.744 Script @__level__/control.lua:514: stations_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: stations_scroll_pane_small_screen | scroll_pane_style
   0.744 Script @__level__/control.lua:514: stations_trains_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: statistics_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: status_image | image_style
   0.744 Script @__level__/control.lua:514: steam_friend_label | label_style
   0.744 Script @__level__/control.lua:514: stretchable_textfield | textbox_style
   0.744 Script @__level__/control.lua:514: subfooter_frame | frame_style
   0.744 Script @__level__/control.lua:514: subfooter_frame_with_left_edge | frame_style
   0.744 Script @__level__/control.lua:514: subheader_caption_checkbox | checkbox_style
   0.744 Script @__level__/control.lua:514: subheader_caption_label | label_style
   0.744 Script @__level__/control.lua:514: subheader_frame | frame_style
   0.744 Script @__level__/control.lua:514: subheader_frame_with_text_on_the_right | frame_style
   0.744 Script @__level__/control.lua:514: subheader_label | label_style
   0.744 Script @__level__/control.lua:514: subheader_right_aligned_label | label_style
   0.744 Script @__level__/control.lua:514: subheader_semibold_label | label_style
   0.744 Script @__level__/control.lua:514: switch | switch_style
   0.744 Script @__level__/control.lua:514: sync_mods_default_status_frame | frame_style
   0.744 Script @__level__/control.lua:514: sync_mods_downloading_status_frame | frame_style
   0.744 Script @__level__/control.lua:514: sync_mods_table | table_style
   0.744 Script @__level__/control.lua:514: tab | tab_style
   0.744 Script @__level__/control.lua:514: tab_deep_frame_in_entity_frame | frame_style
   0.744 Script @__level__/control.lua:514: tab_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: tab_shallow_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: tabbed_pane | tabbed_pane_style
   0.744 Script @__level__/control.lua:514: tabbed_pane_frame | frame_style
   0.744 Script @__level__/control.lua:514: tabbed_pane_with_extra_padding | tabbed_pane_style
   0.744 Script @__level__/control.lua:514: tabbed_pane_with_no_side_padding | tabbed_pane_style
   0.744 Script @__level__/control.lua:514: table | table_style
   0.744 Script @__level__/control.lua:514: table_with_selection | table_style
   0.744 Script @__level__/control.lua:514: target_station_in_schedule_in_train_view_list_box_item | button_style
   0.744 Script @__level__/control.lua:514: technology_card_frame | frame_style
   0.744 Script @__level__/control.lua:514: technology_graph_title_frame | frame_style
   0.744 Script @__level__/control.lua:514: technology_gui_left_frame | frame_style
   0.744 Script @__level__/control.lua:514: technology_gui_outer_frame | frame_style
   0.744 Script @__level__/control.lua:514: technology_list_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: technology_slot | technology_slot_style
   0.744 Script @__level__/control.lua:514: text_holding_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: textbox | textbox_style
   0.744 Script @__level__/control.lua:514: thick_progressbar | progressbar_style
   0.744 Script @__level__/control.lua:514: tile_variation_button | button_style
   0.744 Script @__level__/control.lua:514: tips_and_tricks_frame | frame_style
   0.744 Script @__level__/control.lua:514: tips_and_tricks_image | image_style
   0.744 Script @__level__/control.lua:514: tips_and_tricks_info_frame | frame_style
   0.744 Script @__level__/control.lua:514: tips_and_tricks_info_frame_small_screen | frame_style
   0.744 Script @__level__/control.lua:514: tips_and_tricks_notification_button | button_style
   0.744 Script @__level__/control.lua:514: tips_and_tricks_notification_frame | frame_style
   0.744 Script @__level__/control.lua:514: tips_and_tricks_simulation | empty_widget_style
   0.744 Script @__level__/control.lua:514: tips_and_tricks_subfooter | frame_style
   0.744 Script @__level__/control.lua:514: tips_and_tricks_title_label | label_style
   0.744 Script @__level__/control.lua:514: title_tip_item | button_style
   0.744 Script @__level__/control.lua:514: tool_bar_empty_slot | empty_widget_style
   0.744 Script @__level__/control.lua:514: tool_bar_open_button | button_style
   0.744 Script @__level__/control.lua:514: tool_button | button_style
   0.744 Script @__level__/control.lua:514: tool_button_blue | button_style
   0.744 Script @__level__/control.lua:514: tool_button_flush_fluid | button_style
   0.744 Script @__level__/control.lua:514: tool_button_green | button_style
   0.744 Script @__level__/control.lua:514: tool_button_red | button_style
   0.744 Script @__level__/control.lua:514: tool_button_without_padding | button_style
   0.744 Script @__level__/control.lua:514: tool_equip_ammo_slot | button_style
   0.744 Script @__level__/control.lua:514: tool_equip_equipment_image | image_style
   0.744 Script @__level__/control.lua:514: tool_equip_inner_panel | frame_style
   0.744 Script @__level__/control.lua:514: tooltip_camera | empty_widget_style
   0.744 Script @__level__/control.lua:514: tooltip_category_line | line_style
   0.744 Script @__level__/control.lua:514: tooltip_description_frame | frame_style
   0.744 Script @__level__/control.lua:514: tooltip_frame | frame_style
   0.744 Script @__level__/control.lua:514: tooltip_heading_label | label_style
   0.744 Script @__level__/control.lua:514: tooltip_heading_label_category | label_style
   0.744 Script @__level__/control.lua:514: tooltip_horizontal_line | line_style
   0.744 Script @__level__/control.lua:514: tooltip_item_label | label_style
   0.744 Script @__level__/control.lua:514: tooltip_label | label_style
   0.744 Script @__level__/control.lua:514: tooltip_panel_background | frame_style
   0.744 Script @__level__/control.lua:514: tooltip_title_frame_light | frame_style
   0.744 Script @__level__/control.lua:514: tooltip_title_label | label_style
   0.744 Script @__level__/control.lua:514: train_interrupts_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: train_inventory_frame | frame_style
   0.744 Script @__level__/control.lua:514: train_schedule_action_button | button_style
   0.744 Script @__level__/control.lua:514: train_schedule_add_interrupt_station_button | button_style
   0.744 Script @__level__/control.lua:514: train_schedule_add_station_button | button_style
   0.744 Script @__level__/control.lua:514: train_schedule_add_wait_condition_button | button_style
   0.744 Script @__level__/control.lua:514: train_schedule_circuit_condition_comparator_dropdown | dropdown_style
   0.744 Script @__level__/control.lua:514: train_schedule_collapse_button | button_style
   0.744 Script @__level__/control.lua:514: train_schedule_comparison_type_button | button_style
   0.744 Script @__level__/control.lua:514: train_schedule_comparison_type_frame | frame_style
   0.744 Script @__level__/control.lua:514: train_schedule_comparison_type_frame_extra_indented | frame_style
   0.744 Script @__level__/control.lua:514: train_schedule_comparison_type_frame_indented | frame_style
   0.744 Script @__level__/control.lua:514: train_schedule_condition_frame | frame_style
   0.744 Script @__level__/control.lua:514: train_schedule_condition_time_selection_button | button_style
   0.744 Script @__level__/control.lua:514: train_schedule_delete_button | button_style
   0.744 Script @__level__/control.lua:514: train_schedule_fulfilled_delete_button | button_style
   0.744 Script @__level__/control.lua:514: train_schedule_fulfilled_item_select_button | button_style
   0.744 Script @__level__/control.lua:514: train_schedule_fullfilled_condition_frame | frame_style
   0.744 Script @__level__/control.lua:514: train_schedule_item_select_button | button_style
   0.744 Script @__level__/control.lua:514: train_schedule_mode_switch_horizontal_flow | horizontal_flow_style
   0.744 Script @__level__/control.lua:514: train_schedule_non_existent_stop_label | label_style
   0.744 Script @__level__/control.lua:514: train_schedule_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: train_schedule_station_frame | frame_style
   0.744 Script @__level__/control.lua:514: train_schedule_station_in_interrupt_frame | frame_style
   0.744 Script @__level__/control.lua:514: train_schedule_temporary_station_delete_button | button_style
   0.744 Script @__level__/control.lua:514: train_schedule_temporary_station_frame | frame_style
   0.744 Script @__level__/control.lua:514: train_schedule_unavailable_stop_label | label_style
   0.744 Script @__level__/control.lua:514: train_station_list_box | list_box_style
   0.744 Script @__level__/control.lua:514: train_status_button | button_style
   0.744 Script @__level__/control.lua:514: train_stop_subheader | label_style
   0.744 Script @__level__/control.lua:514: train_with_minimap_frame | frame_style
   0.744 Script @__level__/control.lua:514: trains_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: trains_scroll_pane_with_side_margin | scroll_pane_style
   0.744 Script @__level__/control.lua:514: trains_widget_table | table_style
   0.744 Script @__level__/control.lua:514: transparent_button | button_style
   0.744 Script @__level__/control.lua:514: transparent_slot | button_style
   0.744 Script @__level__/control.lua:514: two_module_spacing_horizontal_flow | horizontal_flow_style
   0.744 Script @__level__/control.lua:514: two_module_spacing_vertical_flow | vertical_flow_style
   0.744 Script @__level__/control.lua:514: unavailable_preview_technology_slot | technology_slot_style
   0.744 Script @__level__/control.lua:514: unavailable_technology_slot | technology_slot_style
   0.744 Script @__level__/control.lua:514: undelete_space_platforms_table | table_style
   0.744 Script @__level__/control.lua:514: undo_camera | empty_widget_style
   0.744 Script @__level__/control.lua:514: universe_connection_button | button_style
   0.744 Script @__level__/control.lua:514: universe_frame | frame_style
   0.744 Script @__level__/control.lua:514: universe_platform_button | button_style
   0.744 Script @__level__/control.lua:514: universe_widget | empty_widget_style
   0.744 Script @__level__/control.lua:514: vehicle_health_progressbar | progressbar_style
   0.744 Script @__level__/control.lua:514: vertical_flow | vertical_flow_style
   0.744 Script @__level__/control.lua:514: vertical_scrollbar | vertical_scrollbar_style
   0.744 Script @__level__/control.lua:514: very_short_number_textfield | textbox_style
   0.744 Script @__level__/control.lua:514: wide_activity_bar | activity_bar_style
   0.744 Script @__level__/control.lua:514: wide_entity_button | empty_widget_style
   0.744 Script @__level__/control.lua:514: wide_list_box | list_box_style
   0.744 Script @__level__/control.lua:514: wide_list_box_in_shallow_frame | list_box_style
   0.744 Script @__level__/control.lua:514: wide_list_box_in_shallow_frame_under_subheader | list_box_style
   0.744 Script @__level__/control.lua:514: wide_list_box_under_subheader | list_box_style
   0.744 Script @__level__/control.lua:514: wide_slider_value_textfield | textbox_style
   0.744 Script @__level__/control.lua:514: working_weapon_button | button_style
   0.744 Script @__level__/control.lua:514: yellow_inventory_slot | button_style
   0.744 Script @__level__/control.lua:514: yellow_slot | button_style
   0.744 Script @__level__/control.lua:514: yellow_slot_button | button_style
   0.744 Script @__level__/control.lua:514: big_slot_button | button_style
   0.744 Script @__level__/control.lua:514: blurry_frame | frame_style
   0.744 Script @__level__/control.lua:514: button_with_shadow | button_style
   0.744 Script @__level__/control.lua:514: compilatron_gui_message | speech_bubble_style
   0.744 Script @__level__/control.lua:514: compilatron_speech_bubble | speech_bubble_style
   0.744 Script @__level__/control.lua:514: compilatron_speech_bubble_wrapper | flow_style
   0.744 Script @__level__/control.lua:514: dark_button | button_style
   0.744 Script @__level__/control.lua:514: dark_rounded_button | button_style
   0.744 Script @__level__/control.lua:514: decider_combinator_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: draggable_space_header | empty_widget_style
   0.744 Script @__level__/control.lua:514: dropdown_button | button_style
   0.744 Script @__level__/control.lua:514: frame_button | button_style
   0.744 Script @__level__/control.lua:514: frame_header_flow | horizontal_flow_style
   0.744 Script @__level__/control.lua:514: left_slider_button | button_style
   0.744 Script @__level__/control.lua:514: list_box_in_shallow_frame | list_box_style
   0.744 Script @__level__/control.lua:514: list_box_in_shallow_frame_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: list_box_in_shallow_frame_under_subheader_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: list_box_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: list_box_under_subheader_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: mod_gui_button | button_style
   0.744 Script @__level__/control.lua:514: mod_gui_inside_deep_frame | frame_style
   0.744 Script @__level__/control.lua:514: mod_gui_spacing_horizontal_flow | horizontal_flow_style
   0.744 Script @__level__/control.lua:514: right_slider_button | button_style
   0.744 Script @__level__/control.lua:514: rounded_button | button_style
   0.744 Script @__level__/control.lua:514: sign_post_speech_bubble | speech_bubble_style
   0.744 Script @__level__/control.lua:514: slider_button | button_style
   0.744 Script @__level__/control.lua:514: slot_sized_button_pressed | button_style
   0.744 Script @__level__/control.lua:514: small_text_image | image_style
   0.744 Script @__level__/control.lua:514: universe_planet_button | button_style
